,랭킹,상품명,가격,리뷰,구매건수,찜하기,스마트스토어,쇼핑몰,배송비,용도,부위,중량,등급,링크
13,14,[육회도매]국내산 냉장 육회 1kg 업소용 식당용 육회택배,28900,53,185,41,1,소잡는 구선생,3000,,,1000g,,https://cr.shopping.naver.com/adcr.nhn?x=6dCl5tXRLJ8L5uESmPsLY%2F%2F%2F%2Fw%3D%3DsBiWa%2FJ5Pv03Zu%2B3Oh%2Fa0tF4IIF724NepvJS5sNQ0e9O%2BujfgJbNMB2WWL70VDrkeXudlv%2B5DVcJgRdczytR38EgAn8lD2%2BxrgblrBqYwPdUckd9Ca%2FSccvvQHwZvN6rSWY7G1dZ4OGSNxlPO3wXNWQpIZmuMCgfXAu66jBebsX8S05jLlaI27Bp%2FV5Vew%2Fk0rFRN%2BLM1yJAr78kyjmQeuVavFoQZioHQNBzgV6NBWA7Dag8%2Bov8fPNUxiIPvo3FllXlr3xME5RUzjbvOCf6wJ6uKWQN4b7WstTXVRp4V%2Fd2Kx7G3krbJiQXzryuwwOqJptkMViy8T%2FR05bbvXOqDZbE1nmDYlzKpkS16h9Ine91drU9gBvTOY8XVxGgpGxxdAnGXy5jnRL1JVwUTHU0smvejIqJzXT3%2FjizKvh6jNx%2FVGL%2BZ935aBsiksocBndghmBVfR4H7D5%2BDEo8clUadsLgq8nuJ9mS8pFU%2BXogxmhbd83eJfNFjA4CQFj6PDHCOowP8PkuOBAcFzaTeCmzbvi%2B4koN57ASn0Yp4PckQlay1XFTv7tTYCU%2FKlq3Cp2WseWd4yL27oAfbow0InKbwbqosS25jwJLOaBnT2bzynSXo6NIsp99p4Jg45RjUrrhf29kk6GWyq8fCoDctcFgDwuR79U%2F6Az3gE9mQ%2Flgn57E%3D&nvMid=84366285331&catId=50004654
14,15,당일도축분 대구뭉티기 한우육사시미300g 생고기 육회 양념장제공,20400,958,814,318,1,동인축산,4000,육회용,,300~600g,,https://cr.shopping.naver.com/adcr.nhn?x=BtWPy3683EWr0tBPFYfHCf%2F%2F%2Fw%3D%3DsFPBhPDXZvEHGSgtA8O4q6PRNmQq8zWSZJVPxx2U423q%2BujfgJbNMB2WWL70VDrken9Bk05wgEV2CczYdMMgpy0gAn8lD2%2BxrgblrBqYwPdUckd9Ca%2FSccvvQHwZvN6rSWY7G1dZ4OGSNxlPO3wXNWQpIZmuMCgfXAu66jBebsX8S05jLlaI27Bp%2FV5Vew%2Fk0rFRN%2BLM1yJAr78kyjmQeuVavFoQZioHQNBzgV6NBWA4G8IKVO8%2FB3aTa7PhX5WcmrMFYSLx01PlumjvpUWzzaKuKWQN4b7WstTXVRp4V%2Fd2Kx7G3krbJiQXzryuwwOqJ6VlUHKnxp9gt2VDSLLhJXnLnYrYK470tPIp4i7scRI5drU9gBvTOY8XVxGgpGxxdtzf00CJTU2RzhG8pCanZV2uyv%2Btriblh5u6JsXZjikZQ7hlhb3iYi773FU73S3wifRTWruFJUcC7OAWMmSFRVRhaG6wS%2B8efCE087E1gQMdTttfWUWVPa6E8lBnWex%2B2VqknwNAw1h7R9qtbHLOlH8Un59geVDK2A914K3ZcMix3ltPp9QnI0Bc6tPsRlADmRn6m6d%2BxUqeLTzki0SAFuLk9yx2LE4ozzid%2FD5Tsgrpy%2F6p3%2FHyEmE7HFWSK87qwrhJpQ4ok9pNDrcAYbppwQL%2BeA9VqwOeNoOezAwHjgwxoaKZHilHbuauHUigNM5KA&nvMid=82376023153&catId=50004654
15,16,당일도축 대구뭉티기 육사시미 한우육회 소고기 육회 생고기 250g 600g,16900,238,575,306,1,시장마트,4000,육회용,우둔,300g,,https://cr.shopping.naver.com/adcr.nhn?x=1YL42nkmzmaobDFEx4u%2Fef%2F%2F%2Fw%3D%3DsN6k8PAH0ZXUvqlLmWDUPlXikLRVK3yUAPs1HwpQF%2BhG%2BujfgJbNMB2WWL70VDrkeNOkPFn4Su47hqjEJu0GPIUgAn8lD2%2BxrgblrBqYwPdUckd9Ca%2FSccvvQHwZvN6rSWY7G1dZ4OGSNxlPO3wXNWQpIZmuMCgfXAu66jBebsX8S05jLlaI27Bp%2FV5Vew%2Fk0rFRN%2BLM1yJAr78kyjmQeuVavFoQZioHQNBzgV6NBWA5w95%2B7O%2BwxazwQZbggMDC91wmYQufZAfoYaYxDbSmVsauKWQN4b7WstTXVRp4V%2Fd2Kx7G3krbJiQXzryuwwOqJ2cUA3F07yjFyAmlnzPn1xO8yJxwmhFHGm87gdso9bjldrU9gBvTOY8XVxGgpGxxdnopkHZNhwhjIPeo514bl8885p%2BVmAOCMg73eBzkT4%2BhQ7hlhb3iYi773FU73S3wiT4vmDcvu4mzVHDJLNY3WhWgi%2Fxwb7APwwhiU7UfFr1ermvpslpwIvS5ZoZ6TudRCZpWTzCOdBdA1cgMQBUIox%2BPltf0xMVPKQFrDJ8p3UXShoGJ0bEwcW6I4UndgWSFBA2mYTea7ABg%2BXulujQhFXuYwDfe5LVn0XDK2tt3nbkTjPKi%2BA9MCoJoUB%2BxusassSJFHaR6ZU5pGAokDmJr%2B0Kh%2FsaLbGlBHR5Qh1ZhvEp1Xc50eBITwugSNPH3Ok09sVpGw61BSdoQRvEGgfFlc5w%3D%3D&nvMid=83307628360&catId=50004654
16,17,당일도축 한우 암소 대구뭉티기 생고기 우둔살 육사시미 육회 물회 캠핑고기,14800,528,737,333,1,그립소,3500,육회용,우둔,200g,,https://cr.shopping.naver.com/adcr.nhn?x=n3%2FNV3Veu14FHxJO7Bu7Zv%2F%2F%2Fw%3D%3DsZuEdQrJGohoFk%2BSZ7JYRb48Inw0T7klsfC4lYsAoU3q%2BujfgJbNMB2WWL70VDrkezNdTJkfc40IGUEvurgtdxEgAn8lD2%2BxrgblrBqYwPdUckd9Ca%2FSccvvQHwZvN6rSWY7G1dZ4OGSNxlPO3wXNWQpIZmuMCgfXAu66jBebsX8S05jLlaI27Bp%2FV5Vew%2Fk0rFRN%2BLM1yJAr78kyjmQeuVavFoQZioHQNBzgV6NBWA4LrWeRsyJm4Jcha7oHJhJeTSuenQynLPLsChCfSwR%2BR6uKWQN4b7WstTXVRp4V%2Fd2Kx7G3krbJiQXzryuwwOqJuRAchhBi%2Bdi9b8YXN4WibwtGzc1kww4%2Fg%2FuSURNhN7BdrU9gBvTOY8XVxGgpGxxdywCAijZynX7OO120v8XLEGSt4OlUfuXfYUdSuD9vi2JQ7hlhb3iYi773FU73S3wiBzPiyV%2FRcxPiNfqrDLrkZQGZrufHYFdMhVJpHsUUbLmSr6k3cMXex8T01XmX8U0aWpa8ZvDHzzBsSCQFAVxZW1Mx%2BCX9p454AvnP%2FwcnDdhfhxJNAcmCVgeusQLzRmQtPGMmsgNj3aJADSPU2EB%2BmRWJAWaTov%2F8emxSHh5MDIbmELFO07QEQYUyi%2Bk709RTlW6h51KJuttCTQlT2MgzXGrT7aJbkJVpJGbtouI%2Ft9HhBjCwxw0Hr84F589ug2ccy1Vhq%2FH77x9Zlr1IFzyuow%3D%3D&nvMid=83296964154&catId=50004654
17,18,한우 1등급 등심 채끝 부채살 안심 갈비살 불고기 국거리 차돌박이 사태 양지 불고기 반값,19900,25,88,21,1,주식회사 금호축산,4000,"구이용, 육회용, 스테이크용","등심, 채끝, 안심, 갈비, 양지, 사태, 앞다리, 부채살, 목심","250, 300g",1등급,https://cr.shopping.naver.com/adcr.nhn?x=8Nb9ymIDwJqNbxIy7drsOP%2F%2F%2Fw%3D%3DsXSCGw4v8qPeQznG7VpXE%2BhjK%2BPhClXGqWVsaCHJeRDCk5X2JRgAMpXMWke7HgHVjRc4Vyu14%2FYkot9cPn5DN4Mi30QtKP1mA7BYZPpxeJLceHZ5T6o%2FKOxB%2BF2EdwDbS7zqDWY4a0rSiKMPozmlHnybR3rdxkXI61xri2pFnAYa6LNub1UGEGOMAc6p%2FaiylhNAWEw0JCsb7LJXBJqKWV9015zgK%2BP5r4ZCysDfiDpUEECiayTrQc6%2F2N3LutqHdxGegF%2F5l%2F%2FupEhDhq1ft3KsJF1TG8DXvuOXRWh2aiSE1QmeK3ZPITzKHcbEnR%2BI85knjDbwTNB0A3abbTTACbnMON4kUvlHEm81vQgC%2FAlpXfqiCwBtPYYwEdSt6i2JAHBan%2Bxm8A%2FpTkJdUUXDcfPvR0I%2FcGUJCqaotO9kmoGSHIGxqYYRIfNMPQWGfTGd48k03opbKhX8KR0eZUB6nl936yoJqy4Gl7tLeq4DejqDk68p7UW88KW3nDO1wgutCxRyqLSN5vA5tcVPnrsIdq%2BmJxlncBsp81pojj4TP8DzubBlyKBy9raGqKqd8SDyIv2nvaOBigIrwmV2RXwTmvdQzmby%2FSaTeKoMOkz4ryKEeKxAtz0c8%2Fozuntnyxm9lD%2B1GzYyCQAVsDO6ulMSbljQprUkoQJgJN6L9HAIFjR7tsa%2B%2Bff4EmO5haxxEHWm2eMu4fWWqeqvtsrJd3wTsBw4SwcLvxUEucVmH%2BcOht40%3D&nvMid=84319351908&catId=50004654
18,19,[성강한우] 육회물회 밀키트 750g+한우육회 250g간편세트 (매콤/오리지널) 캠핑,31500,31,,9,1,성강한우,4000,육회용,"우둔, 설도",1000g,,https://cr.shopping.naver.com/adcr.nhn?x=QWAxLYa9yIhMp4CODbP05f%2F%2F%2Fw%3D%3Dsk3aQ62qzQBGYXHZT%2FoCuPCFzrQqd2HuEpF7iecmqCs42T%2B2I7vM1lywjaE2447yKIbgi0yjbws7%2BPMaPFxIQFdyGaSr%2B0dRu37W7MMIB4NEaKnS7qDzT33%2Bj2nEMp8lH4jEZTST%2FGHtH6cnntuce6cjb163Yj5fJLIg8idXIiBEE8h6KBdf2FmbwXiMKqwB6y7WsjvL6fGBruqRzbSMBoQdLXoybizBOVFY0bnGAXBuLJhpMDBzCjuHIgrdDTZyq9jyLi%2BfNg2BNGUuTNxY2diFOgT28sJCECrb49FuTCNjBz7%2BORHa%2BX777%2F5U82WuFPW%2FWhsws%2BmqKZySCwtxb%2F3BAOmjFSWtq1qMriEeuzfxoQSe7L3%2FaO%2BpItkPBv5bWKIEPy9huh9JNuR6eleqJXsuHK4RDmv8Zq%2Fqic6td1qhtlPezuhB1XZVnWoXLVx%2FH23U8t8YLEoaC0uLhha6Ykt%2FCf1oeX211AaZD9wIZ%2FLvH%2FX24Kjy5wg2QALHpiEfmiHq0R2vGlQa4fdKXBqP9RPtiZtIEznzq%2FFtwAsLv%2FqFQ6M3zU9W87jizMksAyo6nKAQAwPq0Ew%2BdFGT1krP1Ysb4iPVqKnSD8qP0YoV12a2DrgClekVxtSLNN1yS74gXPXjSdxGMXI2fQ0eSpC%2BuFelAoYSgrVt4JcsCBfb%2B31M%2BG%2FTbuaZ6wOvCjT10y9QszY6of2Xpggjm6A4Z8HgJhg%3D%3D&nvMid=83239163944&catId=50004654
19,20,당일도축 한우육회 한우 대구뭉티기 당일손질 육사시미 생고기 우둔살 양념장서비스,9900,1447,1697,491,1,신선테이블,3500,"육회용, 구이용, 스테이크용",우둔,120~240g,,https://cr.shopping.naver.com/adcr.nhn?x=AN3tv5J9K27lYJBoUbWcLv%2F%2F%2Fw%3D%3DsZ%2BVpfvoXmf%2FzF8oNQXkCMHWw9CrWKPAAtIcawtsGW%2BG%2BujfgJbNMB2WWL70VDrkeNx5jIlkGuifCIz99KvuXkEgAn8lD2%2BxrgblrBqYwPdUckd9Ca%2FSccvvQHwZvN6rSWY7G1dZ4OGSNxlPO3wXNWQpIZmuMCgfXAu66jBebsX8S05jLlaI27Bp%2FV5Vew%2Fk0rFRN%2BLM1yJAr78kyjmQeuVavFoQZioHQNBzgV6NBWA5QgZsiAi52GPw1maaialwwqct8uIh8eaCHjC4k0M9FmKuKWQN4b7WstTXVRp4V%2Fd2Kx7G3krbJiQXzryuwwOqJj3Jrih6O4APw4DO7AyaSGsC%2FVKf%2B2byBS1P1%2BWDqzE9drU9gBvTOY8XVxGgpGxxdwbUofi1X7VQEEKpSpWR8HxD%2B5Q5yWtHqDi9mjyS9D29Q7hlhb3iYi773FU73S3wiS60xLrq8OmKYs8ZW05yBl%2F74bEb3O%2FTbXrZVbzMj963fVml9kUUpaOR9KeojuZi1qfOnZ94AlA45zewiXH7TrK%2F%2FpH2zcx%2F%2BA0J1CE9XbDCsY%2BPmxiPH%2FEO9EVh9A9%2BT0RtEabQFE8zmxcZFqep6e7EsFAzCRtwfMtGlBR5no6Ft9tvKk8Ji4qEzI9JNkJaoURQYZ2Qbf2%2BrHTVXwHQKZyZPkPROKXUS08EYuQLJerayAQ7zkn1yPcPJu4JDLU5e%2BGKPtJQykmRookhxlg1f7Qau4fTwOUqyF63FjwpQRls%3D&nvMid=82835399637&catId=50004654
20,21,[소잡는구선생]국내산 당일작업 냉장 육회/육사시미 300g 뭉티기 육회물회,9700,7720,5991,640,1,소잡는 구선생,3000,,,,,https://cr.shopping.naver.com/adcr.nhn?x=GhOn43dbqaoqjqeN6xmOrP%2F%2F%2Fw%3D%3DskUU2PR5ZGkA7An8dsBWUXhCc6RdghzMq3ASU%2FtDqAiQ2T%2B2I7vM1lywjaE2447yK%2BkJsMCVmDqdCy4OpRKiPONyGaSr%2B0dRu37W7MMIB4NEaKnS7qDzT33%2Bj2nEMp8lH4jEZTST%2FGHtH6cnntuce6cjb163Yj5fJLIg8idXIiBEE8h6KBdf2FmbwXiMKqwB6y7WsjvL6fGBruqRzbSMBoQdLXoybizBOVFY0bnGAXBvw6Qc5P%2FEqSUsqDS7lBkO0FyTwGFwTZuHJNUpkZCgBxCFOgT28sJCECrb49FuTCNjBz7%2BORHa%2BX777%2F5U82WuFPW%2FWhsws%2BmqKZySCwtxb%2FxP3KzjpTiHYD5%2BAoDG6TUT7Pr9xb9a%2BJ%2F%2BruuO0miAXKIEPy9huh9JNuR6eleqJXtyJWgQ6Lgp6GWogHF0D03cS3seUhMZF%2FlVbu%2FGJEs80DdwustvWQI2dnO%2FlF0fDXTjdxGZCiGdux0yD06YxewMO3yufQPNYzweRZkOOYNPKrLxmuEvrzB08dqoWvhFgpBFQtsZ3teOq2q%2BmAnxBnK063iBW8KCSpE8PlYJC5ROEXUeqPdsB%2B6T3UHJI3KfkgM1uJMDrsu4Y40X9s3Pyod2QCU4rA9qEITJh30T6VqaOFMKRiWNVyD6qMfXrFfPap1isdWRP0mbNIzzZH1UHMf19Nr%2F0hFDgkeB1d8eGW%2BvGgqgOvq6z5EpEI5N2xav1Mg%3D%3D&nvMid=82457346062&catId=50004654
21,22,당일도축 한우 육회 뭉티기 육사시미 양념장 무료제공 대구 명물 오드레기,15900,1699,893,561,1,백년밥상,3500,"육회용, 구이용",,150g,,https://cr.shopping.naver.com/adcr.nhn?x=skCPxvBPYwx%2FRbAYSppzif%2F%2F%2Fw%3D%3Ds6VM0Gcv%2FFqXAeFANOM1AG5vsIJXGN0DftIi0MU5KZFG%2BujfgJbNMB2WWL70VDrkeQ7nMdXE2jeXoJKG0%2BmO8LUgAn8lD2%2BxrgblrBqYwPdUckd9Ca%2FSccvvQHwZvN6rSWY7G1dZ4OGSNxlPO3wXNWQpIZmuMCgfXAu66jBebsX8S05jLlaI27Bp%2FV5Vew%2Fk0rFRN%2BLM1yJAr78kyjmQeuVavFoQZioHQNBzgV6NBWA50ZtWZ9883YRJuVleacqPW%2B10G11UzHCt8fT%2B%2Fofe0qKuKWQN4b7WstTXVRp4V%2Fd2Kx7G3krbJiQXzryuwwOqJVBXdMAjMyqeq2FiyIL%2BvbFcH8Z4cOu%2F7Vby7dlct6qXHvY%2FUzN94OzIr5wG3PfiAQsoodJ97j%2BzVgkLvIhmUAiuq7w9bfI0wadVrRRBqBNmb8bjZ7alCHNogrrRapUwTEXkK9Iwcq0j9dDTd8l7Vg0LNaUJSOsvK%2BpARfCoOy4BP6sQYvX%2ByKt4DBzpUnly1AhdVFe6t9KC%2FUy1v2DMDTApAUBeSwuNTZB9hLjYzNKcyWdLsy7vmOYeA1lzGqqgisNDQjDqHZNg3mDdUXIrSesRq6OqAU04CFxAC15PYmep7yRI57RgpI74QzeqJc%2FF0lfkYP0f%2FYoDBCaVxryKCybGhTvSBJhu1%2Bm5qSRaDWTJ08wN0alXuGHiqelOmh780HRyPBWbUFRhWScTsgQynPg%3D%3D&nvMid=82603493805&catId=50004654
22,23,[소근소근 육회]국내산 냉장 소고기 육회 300g + 육회소스2개,10900,44,,21,1,맛있는 이야기 소근소근,3300,육회용,기타,300g,,https://cr.shopping.naver.com/adcr.nhn?x=up8dHXN78D8BvEcTCbbIOf%2F%2F%2Fw%3D%3DsPfL0WsgbptgcNo%2B%2F%2B7XV5GhdjBq8fLp7xkPZlGCrPs02T%2B2I7vM1lywjaE2447yK90AIYj4FhK7MeIVtcPphw9yGaSr%2B0dRu37W7MMIB4NEaKnS7qDzT33%2Bj2nEMp8lH4jEZTST%2FGHtH6cnntuce6cjb163Yj5fJLIg8idXIiBEE8h6KBdf2FmbwXiMKqwB6y7WsjvL6fGBruqRzbSMBoQdLXoybizBOVFY0bnGAXBuUOkemBP0IHU3O9G2QBO%2B%2BcAdHcqvldTp7rVLFo0sG3iFOgT28sJCECrb49FuTCNjBz7%2BORHa%2BX777%2F5U82WuFRDpykpOqWZgZqWcBmVwRDUftS%2Bi6d7%2FoFnfB4ko66Ixos3G4KiXLTTg%2Bw%2F2Z05z4KIEPy9huh9JNuR6eleqJXoHoDZ3UIju9K%2BB2zv8QgZxwqNz52xsMcVcfH5BWYOnHa4pVL2i6dis%2FOLhZC1TbdkPsGYfyt9Hoq6uxEJzLrHEkZa4BOCfFqowelaKiA4AzCdwSCJ3Db9EUEMNKltFvOSni63rQ7U%2FfGXi6XnMO%2F2nFAiEVWyMRuA%2Flze%2Bia5Gs06y7SqQEb63FW2AyEAQZK8H5MJCLldeMmBtZPbgTeKHOD6SfWB0PG%2FpiVkGxxA0JDrnbd8GDV%2Bsoc%2FGnyn9lqQKq%2FCHnZiwOcf5o%2B9eyCxRB0CIl3BeKsFF2drF%2B%2BsFv&nvMid=83641822086&catId=50004654
23,24,미트럽 한우 암소 생고기 육회세트 1+1 (200g 2개+소스40g 2개) 캠핑용 소고기,26900,55,,36,1,미트럽,3500,육회용,"설도, 우둔",200g,,https://cr.shopping.naver.com/adcr.nhn?x=5mWNtzgb81blBAJY3WFQn%2F%2F%2F%2Fw%3D%3DsPlXVGp48cltrPlT3rqzivvMrjJsnM3TRPKImnq45Bgw2T%2B2I7vM1lywjaE2447yKi0kN7YEslt3tMAlZSEwK8dyGaSr%2B0dRu37W7MMIB4NEaKnS7qDzT33%2Bj2nEMp8lH4jEZTST%2FGHtH6cnntuce6cjb163Yj5fJLIg8idXIiBEE8h6KBdf2FmbwXiMKqwB6y7WsjvL6fGBruqRzbSMBoQdLXoybizBOVFY0bnGAXBv0xn6Tc%2B7D1oFwhW%2BkbXhOpZ67mmCtC1IuSoaS7b3p1yFOgT28sJCECrb49FuTCNjBz7%2BORHa%2BX777%2F5U82WuFRDpykpOqWZgZqWcBmVwRDYzAv%2B5GQsD9qltV1aYbSWLChmugpdl22dNAF0K43jG2KIEPy9huh9JNuR6eleqJXjkA9Udtmj%2FBqbV8pi9n68%2FqJETJE0w%2BZtMEmaXZfjmrOZFLWksXNR1hEJqRA%2Bb8xdWKaQF6pmfqHV%2FVHpWLvax9HxYJcWuCdwMyzlZSXHx%2Blc86%2BPgZ%2BJ62VN0sJrAjvtax8McOY2to%2BdcVkWaPLMrqRjPd7%2F6x7ZXqDByA7%2BfmLTppo51NS3jpvkcTcBVr6U97ZFFzwDqFilO9Ox9MIPMP7UbNjIJABWwM7q6UxJuW9z5V53wyFWdQEZCxHaP0hnnJ9aH5EYvfaVvJEOVvIqoBCHiEMTJZMucCuGVsWoJoDhLBwu%2FFQS5xWYf5w6G3jQ%3D%3D&nvMid=83576443261&catId=50004654
24,25,[소잡는구선생]국내산 당일작업 냉장 육회/육사시미 300g 뭉티기 육회물회,9700,7720,5991,1533,1,마장동시장 구복출,3000,,,,,https://cr.shopping.naver.com/adcr.nhn?x=NtMKjkbHekcYgccVSeUS9P%2F%2F%2Fw%3D%3DsNA7S1Lai9KnVsPwWQUOpW22DEocRSjeaLqk3qbpU%2F8vPtFBblJ6VYEOPxKz5bEjUBucRl2efr%2BWIHI869FTv%2Fci30QtKP1mA7BYZPpxeJLceHZ5T6o%2FKOxB%2BF2EdwDbS7zqDWY4a0rSiKMPozmlHnybR3rdxkXI61xri2pFnAYa6LNub1UGEGOMAc6p%2Faiylfdx90CtIdY7jMsoj9CXM4M2qpJUNTIl9hFyLyRI0%2Fw9W2ywJ6iyq20QERRJ8tQbq2dNzyTm8pGBYQca1YncvGF18On0%2B4OT76dMX121gsZ4Hs%2F2PHkpmvWjL2qy1nHubjJaXJn3fdRrLkzlB0n9mfiZTYqSaD%2F0cAz5OyXUB9AhdrU9gBvTOY8XVxGgpGxxducYSa2rXfu0jA3RtYGPsLK8PsmFM59AWWT0Gv%2BkHcJNzOs56DUf8Yjx7hIMxwqrlLOKoQTwq%2FH8tDI6wMKXf7rkef9wWk9n1LU8xpfMkRSR66uNc6OSIkEBaOQ06wLlBerCrwVAhgsrnbwOFVt%2Fz%2Bd%2BA0ZMifi5Qf92m95TShxTzm3%2FgviTWVNiy8fRISYBOc6LVaJZMPjADnUgIzp29EBPFEwfJkDAFjTZIX6dRKyTuCi1unHHG6jxulP8R66Jz6qdEaCIqBHeuk6P9c4BiPbPtJ0gIZBOFNhtflldbI%2FefOvDH9c3EZx85WMB2qGQ3Bq7h9PA5SrIXrcWPClBGWw%3D%3D&nvMid=82501791302&catId=50004654
